OrderId,CreatedAt,Items,CustomerId,FirstName,LastName,Street,CardBrand,CardExpiration,CardHolderName,CardNumber,CardSecurityNumber,City,Installments,Complement,PaymentType,State,ZipCode,GrainAccesses
3000,11/09/2023 00:50:37,3896:Generic Rubber Ball:6:2860:1:0;,3000,Annie,Wuckert,401 Bogisich Groves,Personal Loan Account,04.11.2024,Darlene Powlowski,6706577019140382887,835,North Dan,0,Romania,CREDIT_CARD,Utah,00084-3924,Marketplace.Grains.StockActor:56:3;Marketplace.Grains.OrderActor:56:2;Marketplace.Grains.PaymentActor:56:1;
3001,11/09/2023 00:50:37,4567:Ergonomic Cotton Hat:1:4904:1:0;,3001,Ivory,Huel,01988 Barton Common,Auto Loan Account,07.05.2024,Zachariah Williamson,5107-7256-5780-5456,869,Ernesttown,0,Holy See (Vatican City State),CREDIT_CARD,Georgia,98038,Marketplace.Grains.StockActor:23:3;Marketplace.Grains.OrderActor:57:2;Marketplace.Grains.PaymentActor:57:1;
3002,11/09/2023 00:50:37,3295:Generic Fresh Bike:10:1259:2:0;,3002,Shayne,Pollich,5847 Raynor Highway,Checking Account,09.08.2024,Austin Greenholt,5038306445281636285,864,Wilkinsonside,0,Egypt,CREDIT_CARD,Utah,80424,Marketplace.Grains.StockActor:31:3;Marketplace.Grains.OrderActor:58:2;Marketplace.Grains.PaymentActor:58:1;
3003,11/09/2023 00:50:37,5203:Unbranded Rubber Gloves:3:1928:5:0;,3003,Patrick,Dicki,439 Jacobi Coves,Checking Account,17.09.2024,Kip Sanford,6375-2228-6250-5546,451,West Jairo,0,Faroe Islands,CREDIT_CARD,Texas,11579-1418,Marketplace.Grains.StockActor:19:3;Marketplace.Grains.OrderActor:59:2;Marketplace.Grains.PaymentActor:59:1;
3004,11/09/2023 00:50:37,7316:Sleek Granite Tuna:10:5678:1:0;,3004,Ansel,Gleichner,7238 Jones Ports,Investment Account,29.08.2024,Rogelio Kozey,3641-859840-8203,393,New Burnice,0,Equatorial Guinea,CREDIT_CARD,Rhode Island,36339,Marketplace.Grains.StockActor:20:3;Marketplace.Grains.OrderActor:60:2;Marketplace.Grains.PaymentActor:60:1;
3005,11/09/2023 00:50:37,930:Rustic Granite Cheese:7:7216:3:0;,3005,Tomasa,Wiza,9930 Hershel Loop,Money Market Account,02.11.2024,Aryanna Goldner,6709463334584761,296,Port Delmerville,0,Chile,CREDIT_CARD,Massachusetts,73966,Marketplace.Grains.StockActor:34:3;Marketplace.Grains.OrderActor:61:2;Marketplace.Grains.PaymentActor:61:1;
3006,11/09/2023 00:50:37,4504:Handmade Rubber Cheese:5:4265:3:0;,3006,Tyree,Carter,195 Ritchie Meadows,Checking Account,28.07.2024,Arturo Davis,6771479396035156,782,Lake Myrlberg,0,El Salvador,CREDIT_CARD,Maryland,59718-0156,Marketplace.Grains.StockActor:24:3;Marketplace.Grains.OrderActor:62:2;Marketplace.Grains.PaymentActor:62:1;
3007,11/09/2023 00:50:37,400:Rustic Wooden Soap:7:6465:0:0;,3007,Monserrat,Jacobson,7599 Schuster Roads,Auto Loan Account,12.08.2024,Heather Bashirian,3044-682919-7291,431,Vladimirtown,0,Slovakia (Slovak Republic),CREDIT_CARD,Arizona,08275,Marketplace.Grains.StockActor:16:3;Marketplace.Grains.OrderActor:63:2;Marketplace.Grains.PaymentActor:63:1;
3008,11/09/2023 00:50:37,8177:Ergonomic Soft Soap:6:8524:5:0;,3008,Viola,Sawayn,1364 Luther Spur,Investment Account,16.09.2024,Enos Anderson,3432-197196-33994,726,East Willachester,0,Samoa,CREDIT_CARD,Hawaii,82339-0799,Marketplace.Grains.StockActor:49:3;Marketplace.Grains.OrderActor:0:2;Marketplace.Grains.PaymentActor:0:1;
3009,11/09/2023 00:50:37,8381:Generic Steel Hat:4:7554:4:0;,3009,Magali,McCullough,1507 Reilly Gateway,Home Loan Account,15.06.2024,Jackeline Bartell,6486-6448-1918-6771,357,Kaleighside,0,Albania,CREDIT_CARD,Mississippi,89885-8900,Marketplace.Grains.StockActor:61:3;Marketplace.Grains.OrderActor:1:2;Marketplace.Grains.PaymentActor:1:1;
3010,11/09/2023 00:50:37,5452:Incredible Cotton Chicken:6:8073:3:0;,3010,Malvina,Brakus,6421 Reta Oval,Auto Loan Account,28.12.2023,Karelle Dietrich,4806-3447-3123-7236,006,North Domenicachester,0,Congo,CREDIT_CARD,Georgia,27615,Marketplace.Grains.StockActor:12:3;Marketplace.Grains.OrderActor:2:2;Marketplace.Grains.PaymentActor:2:1;
3011,11/09/2023 00:50:37,5779:Licensed Granite Table:8:5803:3:0;,3011,Neil,Anderson,4317 Witting Springs,Checking Account,30.12.2023,Isobel Rath,6709633198863170103,877,Beattymouth,0,Kyrgyz Republic,CREDIT_CARD,Missouri,70531-6453,Marketplace.Grains.StockActor:19:3;Marketplace.Grains.OrderActor:3:2;Marketplace.Grains.PaymentActor:3:1;
3012,11/09/2023 00:50:37,5331:Fantastic Soft Car:10:4660:2:0;,3012,Mireya,Walter,42598 Rosenbaum Summit,Investment Account,21.04.2024,Chester Reichel,3528-7597-8069-6272,815,Jevonland,0,Monaco,CREDIT_CARD,Maine,17177-9470,Marketplace.Grains.StockActor:19:3;Marketplace.Grains.OrderActor:4:2;Marketplace.Grains.PaymentActor:4:1;
3013,11/09/2023 00:50:37,2014:Generic Concrete Cheese:6:219:2:0;,3013,Mollie,Hansen,219 Labadie Drive,Checking Account,17.05.2024,Damaris Connelly,6759652377704927,721,Lake Reaganmouth,0,United Kingdom,CREDIT_CARD,Missouri,18953,Marketplace.Grains.StockActor:30:3;Marketplace.Grains.OrderActor:5:2;Marketplace.Grains.PaymentActor:5:1;
3014,11/09/2023 00:50:37,995:Handmade Frozen Chips:3:666:4:0;,3014,Cade,Prosacco,70017 Klocko Spur,Credit Card Account,13.07.2024,Ellie McClure,676237145204602309,006,Port Garlandton,0,Isle of Man,CREDIT_CARD,Nebraska,29064-4516,Marketplace.Grains.StockActor:35:3;Marketplace.Grains.OrderActor:6:2;Marketplace.Grains.PaymentActor:6:1;
3015,11/09/2023 00:50:37,7863:Unbranded Frozen Hat:8:1505:3:0;,3015,Jessica,Flatley,18132 Berenice Passage,Home Loan Account,22.03.2024,Kiara Terry,6767-6944-2709-6034-909,684,Romaguerastad,0,Benin,CREDIT_CARD,Florida,12992,Marketplace.Grains.StockActor:55:3;Marketplace.Grains.OrderActor:7:2;Marketplace.Grains.PaymentActor:7:1;
