OrderId,CreatedAt,Items,CustomerId,FirstName,LastName,Street,CardBrand,CardExpiration,CardHolderName,CardNumber,CardSecurityNumber,City,Installments,Complement,PaymentType,State,ZipCode,GrainAccesses
12000,11/09/2023 00:51:01,8370:Handcrafted Soft Pizza:3:4068:4:0;,12000,Mackenzie,Upton,87713 Alta Mountains,Credit Card Account,11.11.2023,Gayle Corwin,670988441344700754,426,North Brookburgh,0,Honduras,CREDIT_CARD,Delaware,29260,Marketplace.Grains.Extended.OrderActorExt:32:2;Marketplace.Grains.Extended.PaymentActorExt:32:1;Marketplace.Grains.Extended.StockActorExt:50:3;
12001,11/09/2023 00:51:01,4038:Rustic Metal Computer:3:9804:1:0;,12001,Ned,Maggio,20093 Nellie Route,Personal Loan Account,13.12.2023,Carson Mitchell,58932204548737972916,378,New Frida,0,Kyrgyz Republic,CREDIT_CARD,Wisconsin,17838,Marketplace.Grains.Extended.OrderActorExt:33:2;Marketplace.Grains.Extended.PaymentActorExt:33:1;Marketplace.Grains.Extended.StockActorExt:6:3;
12002,11/09/2023 00:51:01,8837:Rustic Plastic Sausages:7:435:1:0;,12002,Frida,Ryan,1683 Kieran Island,Money Market Account,26.12.2023,Tyrese Kunde,3659-263636-3339,231,South Rowena,0,Ireland,CREDIT_CARD,South Dakota,56773-0915,Marketplace.Grains.Extended.OrderActorExt:34:2;Marketplace.Grains.Extended.PaymentActorExt:34:1;Marketplace.Grains.Extended.StockActorExt:5:3;
12003,11/09/2023 00:51:01,7744:Generic Cotton Table:5:9685:1:0;,12003,Macy,Blanda,65678 Keebler Ford,Home Loan Account,29.03.2024,Branson Schuppe,6767-4672-4771-4388-28,297,Dickensview,0,Mayotte,CREDIT_CARD,Nebraska,49580-3228,Marketplace.Grains.Extended.OrderActorExt:35:2;Marketplace.Grains.Extended.PaymentActorExt:35:1;Marketplace.Grains.Extended.StockActorExt:0:3;
12004,11/09/2023 00:51:01,1282:Incredible Steel Bike:8:6189:4:0;,12004,Kyra,Wiegand,979 Cecile Island,Savings Account,11.01.2024,Lance Waters,6771-8977-0404-9678,447,New Demetrisbury,0,Bosnia and Herzegovina,CREDIT_CARD,Oregon,82711-4405,Marketplace.Grains.Extended.OrderActorExt:36:2;Marketplace.Grains.Extended.PaymentActorExt:36:1;Marketplace.Grains.Extended.StockActorExt:2:3;
12005,11/09/2023 00:51:01,8404:Tasty Granite Shirt:4:7404:3:0;,12005,Alexanne,Swift,745 Rau Inlet,Savings Account,26.02.2024,Dakota Roob,4920176989692,306,Marleyview,0,Palestinian Territory,CREDIT_CARD,Indiana,83689,Marketplace.Grains.Extended.OrderActorExt:37:2;Marketplace.Grains.Extended.PaymentActorExt:37:1;Marketplace.Grains.Extended.StockActorExt:20:3;
12006,11/09/2023 00:51:01,1179:Refined Granite Sausages:7:2893:1:0;,12006,Hilda,Toy,86469 Pagac Station,Auto Loan Account,12.03.2024,Emmitt Abbott,5038-6971-7840-3356,861,Dickifort,0,Armenia,CREDIT_CARD,Utah,08700,Marketplace.Grains.Extended.OrderActorExt:38:2;Marketplace.Grains.Extended.PaymentActorExt:38:1;Marketplace.Grains.Extended.StockActorExt:27:3;
12007,11/09/2023 00:51:01,2607:Ergonomic Wooden Fish:5:2076:4:0;,12007,Jeramy,Morissette,11686 Gordon Pike,Money Market Account,06.02.2024,Samanta O'Conner,58932576720743635916,583,New Waino,0,Panama,CREDIT_CARD,Washington,67890-9962,Marketplace.Grains.Extended.OrderActorExt:39:2;Marketplace.Grains.Extended.PaymentActorExt:39:1;Marketplace.Grains.Extended.StockActorExt:47:3;
12008,11/09/2023 00:51:01,8677:Gorgeous Fresh Salad:2:3179:2:0;,12008,Joan,Harber,26895 Hahn Ford,Personal Loan Account,21.04.2024,Ambrose Rau,6011-8747-1683-1401,866,Lake Johann,0,Cambodia,CREDIT_CARD,Illinois,11135-1877,Marketplace.Grains.Extended.OrderActorExt:40:2;Marketplace.Grains.Extended.PaymentActorExt:40:1;Marketplace.Grains.Extended.StockActorExt:37:3;
12009,11/09/2023 00:51:01,8140:Handcrafted Cotton Pizza:2:8904:4:0;,12009,Dean,Towne,144 Percival Park,Savings Account,25.10.2024,Arvilla Kautzer,3730-686629-16846,304,Abernathybury,0,Sweden,CREDIT_CARD,Nebraska,01911,Marketplace.Grains.Extended.OrderActorExt:41:2;Marketplace.Grains.Extended.PaymentActorExt:41:1;Marketplace.Grains.Extended.StockActorExt:12:3;
12010,11/09/2023 00:51:01,852:Awesome Rubber Car:8:6959:3:0;,12010,Kiara,McKenzie,721 Rippin Mews,Auto Loan Account,21.04.2024,Cornelius Cassin,3004-071862-2699,122,Lake Isaias,0,Sierra Leone,CREDIT_CARD,Oregon,93610,Marketplace.Grains.Extended.OrderActorExt:42:2;Marketplace.Grains.Extended.PaymentActorExt:42:1;Marketplace.Grains.Extended.StockActorExt:20:3;
12011,11/09/2023 00:51:01,3538:Gorgeous Steel Hat:4:3767:1:0;,12011,Isac,Pacocha,2479 Davis Summit,Savings Account,03.02.2024,Sigurd Crist,6762-6473-4563-8590,065,Lake Dillon,0,Costa Rica,CREDIT_CARD,Wisconsin,19572,Marketplace.Grains.Extended.OrderActorExt:43:2;Marketplace.Grains.Extended.PaymentActorExt:43:1;Marketplace.Grains.Extended.StockActorExt:18:3;
12012,11/09/2023 00:51:01,635:Intelligent Granite Table:2:9026:0:0;,12012,Aisha,Reynolds,6226 Weissnat Walk,Investment Account,17.08.2024,Raphael Hilll,3733-466888-42018,950,Bereniceton,0,Grenada,CREDIT_CARD,Michigan,50534,Marketplace.Grains.Extended.OrderActorExt:44:2;Marketplace.Grains.Extended.PaymentActorExt:44:1;Marketplace.Grains.Extended.StockActorExt:59:3;
12013,11/09/2023 00:51:01,9389:Incredible Metal Bacon:4:4016:0:0;,12013,Sharon,Bernier,89554 Theodore Highway,Money Market Account,04.12.2023,Connor Wilkinson,6759-1325-8346-5227-65,270,North Nyah,0,Burundi,CREDIT_CARD,Pennsylvania,85001-5465,Marketplace.Grains.Extended.OrderActorExt:45:2;Marketplace.Grains.Extended.PaymentActorExt:45:1;Marketplace.Grains.Extended.StockActorExt:45:3;
12014,11/09/2023 00:51:01,9184:Rustic Granite Soap:7:6309:5:0;,12014,Giovanni,Bradtke,9961 Hailie Mill,Personal Loan Account,21.04.2024,Ethyl Windler,3783-728932-73109,263,Rosaliaburgh,0,Guadeloupe,CREDIT_CARD,Oklahoma,40180,Marketplace.Grains.Extended.OrderActorExt:46:2;Marketplace.Grains.Extended.PaymentActorExt:46:1;Marketplace.Grains.Extended.StockActorExt:32:3;
12015,11/09/2023 00:51:01,7715:Practical Metal Chicken:5:8056:2:0;,12015,Abbigail,Hills,2980 Wiegand Grove,Home Loan Account,22.01.2024,Alvera Jacobson,670660791762795479,358,Bogisichfort,0,Somalia,CREDIT_CARD,West Virginia,39695-2202,Marketplace.Grains.Extended.OrderActorExt:47:2;Marketplace.Grains.Extended.PaymentActorExt:47:1;Marketplace.Grains.Extended.StockActorExt:35:3;
12016,11/09/2023 00:51:01,4563:Handcrafted Concrete Table:6:7822:0:0;,12016,Priscilla,Lesch,89394 Earlene Parks,Checking Account,20.02.2024,Nicola Mueller,5445-1675-3450-5101,339,Port Akeembury,0,Macedonia,CREDIT_CARD,Virginia,42021,Marketplace.Grains.Extended.OrderActorExt:48:2;Marketplace.Grains.Extended.PaymentActorExt:48:1;Marketplace.Grains.Extended.StockActorExt:19:3;
12017,11/09/2023 00:51:01,7340:Intelligent Cotton Mouse:2:9901:4:0;,12017,Grace,Schimmel,47393 Bettye Meadows,Savings Account,21.01.2024,Pete Morissette,3528-4108-3329-6492,615,Port Tanner,0,Bulgaria,CREDIT_CARD,Idaho,91406-1175,Marketplace.Grains.Extended.OrderActorExt:49:2;Marketplace.Grains.Extended.PaymentActorExt:49:1;Marketplace.Grains.Extended.StockActorExt:44:3;
12018,11/09/2023 00:51:01,1653:Handmade Fresh Table:1:5462:0:0;,12018,Hiram,Mraz,710 Kiley Coves,Auto Loan Account,06.10.2024,Lauriane Little,6379-3747-3274-7232,639,New Peytonchester,0,Antigua and Barbuda,CREDIT_CARD,Oklahoma,01582-8296,Marketplace.Grains.Extended.OrderActorExt:50:2;Marketplace.Grains.Extended.PaymentActorExt:50:1;Marketplace.Grains.Extended.StockActorExt:53:3;
12019,11/09/2023 00:51:01,4006:Fantastic Steel Chicken:6:7737:5:0;,12019,Joana,Stamm,91606 Kessler Club,Home Loan Account,07.12.2023,Eloise Keeling,6759-4094-7539-2317-08,637,Vaughnfurt,0,Kazakhstan,CREDIT_CARD,Delaware,15820-9012,Marketplace.Grains.Extended.OrderActorExt:51:2;Marketplace.Grains.Extended.PaymentActorExt:51:1;Marketplace.Grains.Extended.StockActorExt:38:3;
12020,11/09/2023 00:51:01,9011:Small Metal Cheese:10:3653:4:0;,12020,Berenice,McDermott,548 Mills Creek,Investment Account,04.12.2023,Maymie Bradtke,6759-3014-0025-0272,847,South Eden,0,United States of America,CREDIT_CARD,Indiana,66376,Marketplace.Grains.Extended.OrderActorExt:52:2;Marketplace.Grains.Extended.PaymentActorExt:52:1;Marketplace.Grains.Extended.StockActorExt:51:3;
12021,11/09/2023 00:51:01,3064:Licensed Cotton Chair:7:3181:2:0;,12021,Ryley,Conroy,54669 Selena Squares,Money Market Account,28.05.2024,Richard Shanahan,3588-9481-7790-8849,511,Nonaport,0,Cote d'Ivoire,CREDIT_CARD,Maine,68598,Marketplace.Grains.Extended.OrderActorExt:53:2;Marketplace.Grains.Extended.PaymentActorExt:53:1;Marketplace.Grains.Extended.StockActorExt:56:3;
12022,11/09/2023 00:51:01,4623:Ergonomic Plastic Chair:5:9212:2:0;,12022,Daisha,Stark,6829 Ebert Union,Auto Loan Account,08.02.2024,Nathen Effertz,5893-3175-4258-8758,767,New Dock,0,Jersey,CREDIT_CARD,Delaware,57766-5885,Marketplace.Grains.Extended.OrderActorExt:54:2;Marketplace.Grains.Extended.PaymentActorExt:54:1;Marketplace.Grains.Extended.StockActorExt:15:3;
12023,11/09/2023 00:51:01,8519:Fantastic Soft Salad:10:8290:5:0;,12023,Luna,Stracke,68207 Waters Flats,Home Loan Account,20.10.2024,Treva O'Connell,6706766011936846,918,New Madonnafurt,0,Saint Kitts and Nevis,CREDIT_CARD,Idaho,32381,Marketplace.Grains.Extended.OrderActorExt:55:2;Marketplace.Grains.Extended.PaymentActorExt:55:1;Marketplace.Grains.Extended.StockActorExt:7:3;
12024,11/09/2023 00:51:01,3556:Sleek Plastic Keyboard:5:9715:2:0;,12024,Otis,Nader,878 Cummings Street,Investment Account,20.07.2024,Savion Casper,3549-5500-0413-5592,177,Austynfort,0,Turkey,CREDIT_CARD,Oregon,72163-0849,Marketplace.Grains.Extended.OrderActorExt:56:2;Marketplace.Grains.Extended.PaymentActorExt:56:1;Marketplace.Grains.Extended.StockActorExt:36:3;
12025,11/09/2023 00:51:01,4152:Ergonomic Soft Tuna:7:2046:1:0;,12025,Vivian,Graham,18968 Schiller Hollow,Investment Account,31.07.2024,Ephraim Smitham,4745807442153,693,Bradtkeburgh,0,Hungary,CREDIT_CARD,Nevada,39867-9205,Marketplace.Grains.Extended.OrderActorExt:57:2;Marketplace.Grains.Extended.PaymentActorExt:57:1;Marketplace.Grains.Extended.StockActorExt:56:3;
12026,11/09/2023 00:51:01,6119:Unbranded Cotton Keyboard:2:688:3:0;,12026,Wilbert,McCullough,67727 Walker Locks,Home Loan Account,26.01.2024,Lowell Aufderhar,5466-3965-2351-6563,711,South Douglaston,0,Guam,CREDIT_CARD,West Virginia,25737-9731,Marketplace.Grains.Extended.OrderActorExt:58:2;Marketplace.Grains.Extended.PaymentActorExt:58:1;Marketplace.Grains.Extended.StockActorExt:39:3;
12027,11/09/2023 00:51:01,7276:Incredible Frozen Chair:4:6857:1:0;,12027,Giovanna,Aufderhar,31085 Francesco Center,Money Market Account,12.05.2024,Maxine Cruickshank,6382-8061-0236-8102,616,North Freddieton,0,Holy See (Vatican City State),CREDIT_CARD,Idaho,27510-0180,Marketplace.Grains.Extended.OrderActorExt:59:2;Marketplace.Grains.Extended.PaymentActorExt:59:1;Marketplace.Grains.Extended.StockActorExt:44:3;
12028,11/09/2023 00:51:01,1420:Handcrafted Cotton Car:6:7120:0:0;,12028,Petra,Deckow,483 Hubert Pines,Personal Loan Account,05.11.2024,Amos Gibson,6709002200599220,905,Reidhaven,0,Guadeloupe,CREDIT_CARD,Montana,88609-6585,Marketplace.Grains.Extended.OrderActorExt:60:2;Marketplace.Grains.Extended.PaymentActorExt:60:1;Marketplace.Grains.Extended.StockActorExt:12:3;
12029,11/09/2023 00:51:01,172:Refined Steel Car:8:9836:5:0;,12029,Alexandro,Green,5726 Murphy Rest,Investment Account,10.10.2024,Lexie Orn,6759-5057-3810-3207,624,Bechtelarland,0,Italy,CREDIT_CARD,Utah,96552,Marketplace.Grains.Extended.OrderActorExt:61:2;Marketplace.Grains.Extended.PaymentActorExt:61:1;Marketplace.Grains.Extended.StockActorExt:44:3;
12030,11/09/2023 00:51:01,6847:Ergonomic Granite Soap:8:2595:2:0;,12030,Breana,Stamm,766 Beahan Port,Checking Account,28.07.2024,Valentina Braun,6771709604344945434,921,Kadeland,0,Bouvet Island (Bouvetoya),CREDIT_CARD,Kansas,92911,Marketplace.Grains.Extended.OrderActorExt:62:2;Marketplace.Grains.Extended.PaymentActorExt:62:1;Marketplace.Grains.Extended.StockActorExt:63:3;
12031,11/09/2023 00:51:01,2958:Generic Soft Pizza:9:8143:5:0;,12031,Josue,Kshlerin,6365 Osinski Station,Personal Loan Account,14.09.2024,Lisandro Torphy,6584-9423-3725-1098,754,New Toneyview,0,China,CREDIT_CARD,Indiana,78406,Marketplace.Grains.Extended.OrderActorExt:63:2;Marketplace.Grains.Extended.PaymentActorExt:63:1;Marketplace.Grains.Extended.StockActorExt:14:3;
12032,11/09/2023 00:51:01,3199:Handcrafted Soft Fish:5:8983:1:0;,12032,Stephon,Shields,4950 Kozey Causeway,Home Loan Account,06.02.2024,Magdalena Cummerata,5315-4954-2739-8574,363,North Emiemouth,0,France,CREDIT_CARD,Utah,33378,Marketplace.Grains.Extended.OrderActorExt:0:2;Marketplace.Grains.Extended.PaymentActorExt:0:1;Marketplace.Grains.Extended.StockActorExt:63:3;
12033,11/09/2023 00:51:01,610:Ergonomic Cotton Mouse:4:1779:0:0;,12033,Sally,Walker,50414 Hirthe Locks,Checking Account,18.11.2023,Myrna Boyle,3775-341833-52833,662,Weissnatmouth,0,Luxembourg,CREDIT_CARD,Florida,97374,Marketplace.Grains.Extended.OrderActorExt:1:2;Marketplace.Grains.Extended.PaymentActorExt:1:1;Marketplace.Grains.Extended.StockActorExt:34:3;
12034,11/09/2023 00:51:01,568:Incredible Frozen Soap:10:8414:5:0;,12034,Genevieve,Nikolaus,33454 Kenny Motorway,Checking Account,14.04.2024,Stanton Bednar,6011-6279-8197-8518-7673,466,Larsonport,0,Cote d'Ivoire,CREDIT_CARD,Delaware,90281,Marketplace.Grains.Extended.OrderActorExt:2:2;Marketplace.Grains.Extended.PaymentActorExt:2:1;Marketplace.Grains.Extended.StockActorExt:56:3;
12035,11/09/2023 00:51:01,6419:Handmade Cotton Keyboard:8:9504:0:0;,12035,Sylvan,Pagac,196 Kerluke Trail,Checking Account,24.12.2023,Evangeline Schinner,3703-123102-23129,289,Lake Lyric,0,Japan,CREDIT_CARD,Connecticut,09590,Marketplace.Grains.Extended.OrderActorExt:3:2;Marketplace.Grains.Extended.PaymentActorExt:3:1;Marketplace.Grains.Extended.StockActorExt:19:3;
12036,11/09/2023 00:51:01,1916:Incredible Granite Shirt:1:1837:0:0;,12036,Helene,Muller,71185 Hirthe Cliffs,Home Loan Account,03.10.2024,Gussie Murray,3432-445312-71864,860,Kihnborough,0,Jersey,CREDIT_CARD,Ohio,27646-8004,Marketplace.Grains.Extended.OrderActorExt:4:2;Marketplace.Grains.Extended.PaymentActorExt:4:1;Marketplace.Grains.Extended.StockActorExt:60:3;
